№ проверки,Модуль ,Название проверки,Результат прохождения,ссылка на дефект
,Поиск,"писк по заголовкам, торговым предложениям, артикулу и другим свойствам товаров
    скрывать в строке поиска отсутствующие товары
    “живой поиск"" - предлагает подходящие варианты товаров",,Черновик
,Доставка,,,Черновик
,Оплата,,,Черновик
,Обратная связь с клиентами,,,Черновик
,контакты и адреса магазинов или пунктов выдачи,,,Черновик
,Интеграция с внешними системами,"Поддержка интеграции с 1С ❏ товары ❏ заказы ❏ результаты обработанных заказов Интеграция с товарными системам ❏ выгрузка файла в спец формате ❏ Яндекс.Маркет ❏ Google Merchant ❏ eBay ❏ Amazon Возможность выгрузки товаров в магазины в соц. сетях ❏ ВКонтакте ❏ Facebook Shop ❏ Instagram CRM-системы Сервисы доставки ❏ DHL ❏ СДЭК ❏ Деловые линии ❏ Boxberry ❏ Почта России ❏ Курьером/самовывоз ❏ Фиксированная цена ❏ Бесплатная доставка при определенной сумме заказа Сервисы оплаты ❏ банковский перевод ❏ Visa/MasterCard ❏ Яндекс.Деньги ❏ WebMoney ❏ Robo kassa ❏ Qiwi ❏ с мобильного телефона Мой Склад Интеграция с системами контекстной рекламы Яндекс.Метрика и Google Analytics ❏ Общие и отдельные цели для веб-форм «Товар под заказ», «Задать вопрос», «Обратная связь», «Заказать услугу» и «Заказать звонок» ❏ Цели корзины, покупки в 1 клик, быстрого и полного заказа ❏ E-commerce Яндекс.Метрика вывод данных Google analytics / метрики в административной панели сайта Парсеры",,Черновик
,Безопасность,,,Черновик
,Гарантии и возврат,,,Черновик
,Введение блога и социальных сетей,,,Черновик
,Новости компании,,,Черновик
,Отзывы покупателей,,,Черновик
,"команда
новости, блог
FAQ (вопрос-ответ)
сертификаты, лицензии
публикации
видео/фото
клиенты/партнеры
кредит/лизинг
награды
вакансии
проекты/кейсы
помощь",,,Черновик
,"онлайн-консультант;
запрос в службу поддержки;
номер телефона компании, адрес e-mail;
обратный звонок;
FAQ;
просьба оставить отзыв;
ссылки на социальные сети",,,Черновик
,"
    квитанция;
    фото приобретенного товара, а также ссылки на продукцию, интернет-магазин и специальные предложения;
    просьба оставить отзыв;
    предложение о покупке скидочной или подарочной карты;
    место, дата и время доставки;
    ссылка для отслеживания доставки;
    инструкция по возврату;
    благодарность за покупку.
",,,Черновик
,"

    телефон (желательно располагать в шапке и футере)
    поиск по сайту
    кнопки/виджеты социальных сетей
    форма заказа обратного звонка
    выбор города
    адреса и режимы работы магазинов/складов
    ссылки на рейтинги на сторонних сервисах
    способы оплаты
    кнопка “наверх” для длинных страниц
    виджет онлайн-консультанта
    заметная ссылка на корзину и личный кабинет (желательно располагать в шапке)
    дублирование основных пунктов навигации в футере; для интернет-магазинов это, как правило, разделы “каталог”, “оплата и доставка” и “ гарантии и возврат”


",,,Черновик
,"Что можно разместить на главной странице? рекламные баннеры со специальными предложениями почему мы/инфографика преимуществ ссылки на популярные разделы каталога товары из категорий “Популярные”/”Со скидкой” и т.д. новости/статьи бренды/партнеры видео текст о компании для SEO-продвижения “живой” блок соц. сетей: посты из Instagram, последние видео на Youtube, виджеты ВК и т.д.",,,Черновик
,"Что может включать в себя карточка товара помимо цены, наименования и артикула?

    цена по акции + зачеркнутая старая цена
    кнопки “в корзину” и “заказать в 1 клик”
    крупное изображение товара
    несколько дополнительных фото товара
    лупа для увеличения фотографии
    видеообзор
    кнопка “360”, чтобы посмотреть на товар со всех сторон
    вывод кратких характеристик в превью карточки
    выбор цвета/размера/комплектации/других важных характеристик
    связь фото с комплектацией (на фото отображается товар того цвета, который выбран в характеристиках)
    таблица размеров или другая важная информация, помогающая сделать выбор
    рейтинг+отзывы о товарах
    лейблы у карточек товаров (например, размер скидки или надпись “акция”)
    информер наличия товара (в наличии/нет в наличии, остаток числом, много/мало/достаточно)
    отображение наличия и количества на складах для каждого товара
    возможность предзаказа товара, которого нет в наличии
    водяной знак на фото
    иконки преимуществ (например, бесплатная доставка)
    блок “нашли дешевле?”
    подробная информация о товаре на вкладках “описание”, “характеристики”, “отзывы”
    возможность поделиться ссылкой на товар в социальных сетях и мессенджерах
    блок “ранее вы смотрели”
    аналоги “похожие товары”, “рекомендуем”
    комплекты “с этим товаром покупают”
    возможность прикреплять файлы для скачивания (инструкции, руководства, сертификаты и т.д.)",,,Черновик
,"
Какие функции могут понадобиться в личном кабинете?

    авторизация через соц. сети и Google
    персональный лицевой счет пользователя
    несколько аккаунтов – один личный кабинет
    техническая поддержка от администрации магазина
    отслеживание стадии выполнения заказа по статусу
    история заказов
    возможность повторить заказ
    возможность изменения личных данных/пароля
    управление подписками
    оповещения на E-mail или SMS о событиях
    программы лояльности - специальные цены/скидки для зарегистрированных пользователей
",,,Черновик
,"
Корзина

    возможность онлайн-оплаты
    кассовый чек согласно ФЗ-54 при оплате онлайн
    печать заказа из корзины
    возможность активировать промокоды/скидочные купоны
    возможность сразу распечатать счет или квитанцию на оплату
    возможность оформить заказ без регистрации
    автоматический расчет стоимости доставки
    поиск и добавление товара по артикулу (для постоянных покупателей)
    допродажи с помощью блоков “Вы смотрели” и “Рекомендуем”",,,Черновик
,"
формы обратной связи:

    форма отправки заказа
    подписка на новости
    лид-магнит (полезность в обмен на контакты)
    обратный звонок
    заявка на кредит
    задать вопрос
    напишите нам
",,,Черновик
,"
Не забываем о служебных страницах:

    страница благодарности при отправке заказа/сообщения
    404 страница
    правила использования сайта
    политика обработки персональных данных
    карта сайта
",,,Черновик
,"Шаблоны триггерных писем сократят ваши временные затраты на административные и маркетинговые рассылки:

    письмо с информацией о заказе
    для забытой корзины (с промокодом на скидку и без него)
    запрос отзыва на Яндекс.Маркет
    реактивация пользователей
    шаблон для акций и распродаж с привязкой к соответствующему разделу
    общий шаблон для менеджеров
",,,Черновик
,"
Мультирегиональность+мультисайтовость

    автоподмена контактов для регионов по IP
    всплывающее окно с выбором города на мобильных устройствах
    передача региональных переменных в почтовые шаблоны
    отдельная страница с персональной контактной информацией по регионам для поисковиков

    возможность автономной корректировки на поддоменах каталогов, цен, наличия
    индивидуальные robots и sitemap для доменов в автоматическом режиме
    автогенерация тегов для региона с его наименованием
    мультивалютность

Маркетинг

    конструктор посадочных страниц для рекламных кампаний
    всплывающие окна pop-up
    push-уведомления
    подмена номеров для колл-трекинга
    модуль внутренней статистики посещаемости и продаж
    виджеты для связи через мессенджеры
    бонусная программа для покупателей
    подарочные карты
    A/B тестирование
    динамический контент на основе поведения пользователей/сегментов/истории покупок",,,Черновик
,"Безопасность

    контроль целостности
    анализ запросов на предмет наличия в них вредоносных конструкций
    антивирус
    visa PCI Certificate для зарубежных рынков
    защита от DDos атак
    проверка работы системы и вывод информации на панель и т.д.

Соответствие законам

    ФЗ-152 (о персональных данных): страница соглашения, чек-бокс в формах/блок внизу страницы с правилами
    соответствие ФЗ-54 (О применении ККТ)
    модуль интеграции с сервисом АТОЛ.ONLINE

SEO

    Хлебные крошки
    ЧПУ-урлы
    ЧПУ и отдельные метатеги для страниц с SEO-фильтрами
    Склейка адресов www и без
    Автоматическая генерация XML и HTML карты сайта
    Микроразметка
    Разметка SCHEMA.ORG для поисковых систем
    Разметка OpenGraph для социальных сетей
    Разметка Dublin Core
    Автогенерация мета-тегов в карточках товаров по маске
    Автогенерация описаний в карточки товаров по маске
    Автогенерация alt и title картинок
    Защита текста от копирования
    Для товаров с SKU название торгового предложения подставляется в заголовок
    Поддержка микроформата Yandex.hProduct
    Last-Modified и If-Modified-Since
    Автоматический 301 редирект при смене урла товара
    Автоматически robots.txt с закрытием служебных страниц
    Rel-canonical

И на сладкое, дополнительно:

    SSL-сертификат
    Кеширование, оптимизация изображений и загрузка страницы
    Автоматическая цена по формуле
    Персональные цены по типам пользователей
    Настраиваемые цены для разных каналов трафика, регионов и т.д.
    Адаптивность под все устройства (соответствует стандартам Google Mobile Friendly)
    Оповещения об отзывах, заказах, на телефон, в мессенджеры и т.д.
    Мобильное приложение для администратора
    Мобильное приложение-магазин",,,Черновик
